Designator,Mid X,Mid Y,Rotation,Layer
C1,153.4,-79.025,270.0,top
C2,150.45,-85.0,0.0,top
C3,146.0,-77.725,90.0,top
C4,147.0,-74.0,270.0,top
D1,155.5,-86.5,0.0,top
J1,142.5,-72.685,0.0,top
J2,142.5,-75.685,0.0,top
J3,142.5,-78.685,0.0,top
J4,142.5,-81.685,0.0,top
J5,142.5,-84.685,0.0,top
J6,142.5,-87.685,0.0,top
L1,156.5,-81.07,90.0,top
R1,159.0,-76.01,270.0,top
R2,159.5,-79.325,90.0,top
R3,159.5,-82.675,90.0,top
R4,151.51,-79.5,0.0,top
U1,153.5,-75.0,90.0,top
U2,152.35,-82.05,270.0,top
